x_epoch,rt,id,pd,lat,lon
1534245826,1A,266,South Bound,37.5410234155789,-77.4343433648768
1534245826,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245826,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245826,1C,506,North Bound,37.60446371961,-77.4547976593473
1534245836,1A,912,North Bound,37.5234985351562,-77.4400863647461
1534245836,1A,402,South Bound,37.5014894925631,-77.5254070575421
1534245836,1B,2210,North Bound,37.5496719023761,-77.440232445212
1534245836,1A,250,North Bound,37.5011825561523,-77.5296249389648
1534245836,1C,257,South Bound,37.5363998413086,-77.431266784668
1534245836,1C,260,North Bound,37.495506145336,-77.4830511587637
1534245836,1A,266,South Bound,37.5410234155789,-77.4343433648768
1534245836,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245836,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245836,1C,506,North Bound,37.6055349462173,-77.4514707677505
1534245846,1A,912,North Bound,37.5234985351562,-77.4400863647461
1534245846,1A,402,South Bound,37.5011958460654,-77.5274847707441
1534245846,1B,2210,North Bound,37.5509785924639,-77.4405978066581
1534245846,1A,250,North Bound,37.5011825561523,-77.5296249389648
1534245846,1C,257,South Bound,37.5363998413086,-77.431266784668
1534245846,1C,260,North Bound,37.495506145336,-77.4830511587637
1534245846,1A,266,South Bound,37.5410234155789,-77.4343433648768
1534245846,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245846,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245846,1C,506,North Bound,37.6055349462173,-77.4514707677505
1534245856,1A,912,North Bound,37.5234985351562,-77.4400863647461
1534245856,1A,402,South Bound,37.5011958460654,-77.5274847707441
1534245856,1B,2210,North Bound,37.5509785924639,-77.4405978066581
1534245856,1A,250,North Bound,37.5011825561523,-77.5296249389648
1534245856,1C,257,South Bound,37.5363998413086,-77.431266784668
1534245856,1C,260,North Bound,37.4958734654669,-77.4832305908203
1534245856,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245856,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245856,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245856,1B,506,South Bound,37.6044311523438,-77.4504928588867
1534245866,1A,912,North Bound,37.5234985351562,-77.4400863647461
1534245866,1A,402,South Bound,37.5011958460654,-77.5274847707441
1534245866,1B,2210,North Bound,37.5509785924639,-77.4405978066581
1534245866,1A,250,North Bound,37.4981956481934,-77.526969909668
1534245866,1C,257,South Bound,37.5362769096128,-77.4313731039724
1534245866,1C,260,North Bound,37.4958734654669,-77.4832305908203
1534245866,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245866,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245866,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245866,1B,506,South Bound,37.6044311523438,-77.4504928588867
1534245876,1A,912,North Bound,37.5245147963702,-77.4384843212063
1534245876,1A,402,South Bound,37.5011958460654,-77.5274847707441
1534245876,1B,2210,North Bound,37.5509785924639,-77.4405978066581
1534245876,1A,250,North Bound,37.4981956481934,-77.526969909668
1534245876,1C,257,South Bound,37.5362769096128,-77.4313731039724
1534245876,1C,260,North Bound,37.4958734654669,-77.4832305908203
1534245876,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245876,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245876,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245876,1B,506,South Bound,37.6044311523438,-77.4504928588867
1534245886,1A,912,North Bound,37.5245147963702,-77.4384843212063
1534245886,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245886,1B,2210,North Bound,37.5513609313965,-77.4407135009766
1534245886,1A,250,North Bound,37.4981956481934,-77.526969909668
1534245886,1C,257,South Bound,37.5362769096128,-77.4313731039724
1534245886,1C,260,North Bound,37.4958734654669,-77.4832305908203
1534245886,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245886,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245886,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245886,1B,506,South Bound,37.6044311523438,-77.4504928588867
1534245896,1A,912,North Bound,37.5245147963702,-77.4384843212063
1534245896,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245896,1B,2210,North Bound,37.5513609313965,-77.4407135009766
1534245896,1A,250,North Bound,37.4981956481934,-77.526969909668
1534245896,1C,257,South Bound,37.5362769096128,-77.4313731039724
1534245896,1C,260,North Bound,37.4958734654669,-77.4832305908203
1534245896,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245896,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245896,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245896,1B,506,South Bound,37.6022529602051,-77.4503936767578
1534245906,1A,912,North Bound,37.5253364338594,-77.4371859606575
1534245906,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245906,1B,2210,North Bound,37.5513609313965,-77.4407135009766
1534245906,1A,250,North Bound,37.4981956481934,-77.526969909668
1534245906,1C,257,South Bound,37.5362769096128,-77.4313731039724
1534245906,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245906,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245906,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245906,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245906,1B,506,South Bound,37.6022529602051,-77.4503936767578
1534245916,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245916,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245916,1B,2210,North Bound,37.5513609313965,-77.4407135009766
1534245916,1A,250,North Bound,37.498420715332,-77.5268173217773
1534245916,1C,257,South Bound,37.5362769096128,-77.4313731039724
1534245916,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245916,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245916,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245916,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245916,1B,506,South Bound,37.6022529602051,-77.4503936767578
1534245926,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245926,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245926,1B,2210,North Bound,37.5513609313965,-77.4407135009766
1534245926,1A,250,North Bound,37.499075496898,-77.5270028955796
1534245926,1C,257,South Bound,37.5331227111816,-77.4328175354004
1534245926,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245926,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245926,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245926,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245926,1B,506,South Bound,37.6022529602051,-77.4503936767578
1534245936,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245936,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245936,1B,2210,North Bound,37.5513609313965,-77.4407135009766
1534245936,1A,250,North Bound,37.499075496898,-77.5270028955796
1534245936,1C,257,South Bound,37.5331227111816,-77.4328175354004
1534245936,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245936,1A,266,South Bound,37.540925860405,-77.4341721534729
1534245936,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245936,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245936,1B,506,South Bound,37.6022529602051,-77.4503936767578
1534245946,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245946,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245946,1B,2210,North Bound,37.5513609313965,-77.4407135009766
1534245946,1A,250,North Bound,37.499075496898,-77.5270028955796
1534245946,1C,257,South Bound,37.5321008894179,-77.433102077908
1534245946,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245946,1A,266,South Bound,37.5400685762104,-77.4327452810187
1534245946,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245946,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245946,1B,506,South Bound,37.6012725830078,-77.4502868652344
1534245956,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245956,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245956,1B,2210,North Bound,37.5526417414347,-77.4410252888997
1534245956,1A,250,North Bound,37.499075496898,-77.5270028955796
1534245956,1C,257,South Bound,37.5321008894179,-77.433102077908
1534245956,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245956,1A,266,South Bound,37.5399097643401,-77.4324856139066
1534245956,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245956,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245956,1B,506,South Bound,37.6011428833008,-77.4501876831055
1534245966,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245966,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245966,1B,2210,North Bound,37.5526417414347,-77.4410252888997
1534245966,1A,250,North Bound,37.499075496898,-77.5270028955796
1534245966,1C,257,South Bound,37.5321008894179,-77.433102077908
1534245966,1C,260,North Bound,37.5007265005539,-77.4758233597029
1534245966,1A,266,South Bound,37.5399097643401,-77.4324856139066
1534245966,1B,2106,South Bound,37.5052638583713,-77.50228994864
1534245966,1A,206,North Bound,37.6017976240678,-77.4519029097124
1534245966,1B,506,South Bound,37.6011428833008,-77.4501876831055
1534245976,1A,912,North Bound,37.5255440021383,-77.4368620247676
1534245976,1A,402,South Bound,37.5012214902848,-77.5277464124892
1534245976,1B,2210,North Bound,37.5526417414347,-77.4410252888997
1534245976,1A,250,North Bound,37.499075496898,-77.5270028955796
